organismo,tipo,numero,anio,titulo,version_to,url_oficial,archivo,sha256,fecha_descarga,nivel_verificacion,capturado_por,observaciones
CONGRESO,LEY,19550,1984,"Ley General de Sociedades",T.O. 1984 texto actualizado,https://servicios.infoleg.gob.ar/infolegInternet/anexos/25000-29999/25553/texact.htm,INFOLEG_LGS_19550_texto_actualizado.htm,2ee0891cdd8a0476f03811a15d8f63832fbab7d057070cd140280227752beeb0,2026-08-24,V1,fase-1,"Seccion IX De la documentacion y de la contabilidad, arts. 61 y ss. Art. 299 sociedades bajo fiscalizacion permanente"
CONGRESO,LEY,26994,2014,"Codigo Civil y Comercial de la Nacion",edicion oficial SAIJ,https://www.saij.gob.ar/docs-f/ediciones/libros/Codigo_Civil_y_Comercial_de_la_Nacion.pdf,SAIJ_CCyC_Ley_26994.pdf,f291da661ac08a61fcf06e6e63354329741f4e6a8a43212a4541c220af1200a0,2026-08-24,V1,fase-1,"Seccion 7a Contabilidad y estados contables, arts. 320 al 331, pag. 65. Confirmados titulos de arts. 320 a 330"
ARCA,MANUAL,,2026,"Manual para el desarrollador wsfev1 v4.6",,https://www.afip.gob.ar/ws/documentacion/manuales/manual-desarrollador-ARCA-COMPG.pdf,ARCA_manual_desarrollador_wsfev1_v4.6.pdf,809a68756c06a5cfa011a5e6db850e402d4fb33156ad0cb0029259a358d5305f,2026-08-24,V1,fase-1,"Jerarquia P4. Respaldo tecnico de la RG 4291"
ARCA,MANUAL,,2026,"Manual para el desarrollador wscdcv1 v4 - Constatacion de comprobantes",,https://www.afip.gob.ar/ws/WSCDCV1/WSCDC-manual-desarrollador-v4.pdf,ARCA_manual_desarrollador_wscdcv1_v4.pdf,afdc68b89ee32b92574b95fba15d3328f5a7b203639d8c5f016136d256bc55b8,2026-08-24,V1,fase-1,"Jerarquia P4. Nucleo del modulo de validacion fiscal"
ARCA,MANUAL,,2026,"Manual ws_sr_padron_a13 v1.4",,https://www.afip.gob.ar/ws/ws-padron-a13/manual-ws-sr-padron-a13-v1.4.pdf,ARCA_manual_ws_sr_padron_a13_v1.4.pdf,3fe47fe8668d2fcb1e38f6ff9b277c6c3cd4060e210b6025065e126c65a2e4c4,2026-08-24,V1,fase-1,"Jerarquia P4"
ARCA,MANUAL,,2026,"Manual ws_sr_padron_a100 v2.1 - Parametros y tablas del sistema",,https://www.afip.gob.ar/ws/ws_sr_padron_a100/manual_ws_sr_padron_a100_v2.1.pdf,ARCA_manual_ws_sr_padron_a100_v2.1.pdf,c61fbce7eed059997a125d201e32955e244cfa3a9e65ef817a720dbfbb7661ac,2026-08-24,V1,fase-1,"Jerarquia P4. Sincronizacion de catalogos"
CONGRESO,LEY,23349,1997,"Ley de Impuesto al Valor Agregado, texto ordenado en 1997","T.O. 1997 por Decreto 280/97 - texto actualizado",https://servicios.infoleg.gob.ar/infolegInternet/anexos/40000-44999/42701/texact.htm,INFOLEG_LEY_IVA_23349_TO_1997_texto_actualizado.htm,180b1380c820cbabc572b707b540e9299e074423fcad4f69b920b06167eb3244,2026-08-26,V1,destrabe-fuentes,"Art. 28: alicuota general 21%; 27% para gas, energia electrica y aguas por medidor fuera de vivienda; 50% de la general para los bienes y servicios que enumera. Desbloquea las alicuotas y el credito fiscal de FASE 8. ATENCION: es TEXTO ACTUALIZADO, los antecedentes normativos NO estan transcriptos: la unica ventana historica que el documento permite afirmar es la del Decreto 2312/2002 (19% entre 2002-11-18 y 2003-01-17), transcripta en Nota Infoleg del propio art. 28"
PEN,DECRETO,280,1997,"Impuesto al Valor Agregado. Texto ordenado 1997 - Aprobacion","ficha oficial de InfoLeg",https://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=42701,INFOLEG_PEN_DECRETO_280_1997_ficha.htm,8a5a4e26ecaf2254957d601bd4fb70c0da3671205866a9d2b1c3f6703c9cc324,2026-08-26,V1,destrabe-fuentes,"Ficha oficial, no texto. Es el documento del que surge la fecha de PUBLICACION del T.O. de IVA: B.O. 15-abr-1997, numero 28626, pagina 5. La fecha de emision (26-mar-1997) coincide con el encabezado del texto archivado"
PEN,DECRETO,841,1984,"Sociedades Comerciales. Ley 19.550 - Texto ordenado","ficha oficial de InfoLeg",https://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=78064,INFOLEG_PEN_DECRETO_841_1984_ficha.htm,8221c43d4f282c4adb3369eafc7b2e122878f233ea257a397ed1626477a7c7b0,2026-08-26,V1,destrabe-fuentes,"Ficha oficial, no texto. Es el documento del que surge la fecha de EMISION del T.O. de la Ley 19.550: 20-mar-1984, publicado 30-mar-1984 numero 25397 pagina 2. El texto actualizado de la 19.550 solo trae la fecha de publicacion; esta ficha es lo que destraba statement_templates. Observaciones del propio InfoLeg: fe de erratas en B.O. del 10/4/1984 y del 16/7/1984"
CPCE_CABA,RES_P,460,2024,"Aprobacion de la RT 59 FACPCE y declaracion de norma profesional obligatoria en CABA",,https://www.consejo.org.ar/storage/attachments/P.460-2024-RT.%20Nro.%2059.pdf-9Qdk6edKy1.pdf,CPCECABA_RES_P_460_2024_adopcion_RT_54.pdf,55be625c72098073c70df13b968b331bce11e2744ea7db555785aaa2f8e7da62,2026-08-26,V1,destrabe-fuentes,"Firmada en CABA el 11 de julio de 2024 por la Presidenta Dra. Gabriela V. Russo y la Secretaria Dra. Silvia Abeledo. Art. 5: vigencia para ejercicios INICIADOS desde 2025-01-01, sin exigir aplicacion a periodos intermedios del primer ejercicio; aplicacion anticipada admitida para ejercicios FINALIZADOS desde 2024-09-30. Es el acto de adopcion que faltaba: sin el, el motor respondia ADOPCION_NO_RELEVADA para CABA"
AFIP,RG,4892,2020,"Codigo QR en comprobantes electronicos. Complementaria de la RG 4291. Modificatoria de la RG 1702","ficha oficial de InfoLeg",https://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=345661,INFOLEG_AFIP_RG_4892_2020_ficha.htm,6999854ee398e018b39fd206d3a15cbea57d728eac396dc71f1af6b2d0f3fa14,2026-08-26,V1,fase-qr,"Ficha, no texto. Emitida 22-dic-2020; B.O. 24-dic-2020 numero 34548 pagina 55. El texto completo NO esta archivado todavia: esta ficha solo aporta las fechas"
ARCA,MANUAL,,2026,"Especificaciones del QR incluido en las facturas electronicas",,https://www.afip.gob.ar/fe/qr/documentos/QRespecificaciones.pdf,ARCA_QR_especificaciones.pdf,a6d0f71e14f282836f07834af76a975dd885386bf972d860878d4b44278deaac,2026-08-26,V1,fase-qr,"Jerarquia P4. Define los nombres de campo del JSON del QR. Su texto usa fuentes con subset y codigos de UN byte; el primer intento de extraccion los leyo como dos y salio ilegible, lo que parecia un PDF escaneado y no lo era. Transcripto a scripts/especificacion-qr.json. El documento trae en la pagina 2 un JSON de ejemplo completo, y hay un test que lo reproduce byte por byte: es lo que verifica la transcripcion en vez de confiar en ella. ATENCION: el documento se contradice sobre la URL — su especificacion tecnica dice arca.gob.ar/fe/qr/ y su propio ejemplo usa afip.gob.ar/fe/qr/"
ARCA,MANUAL,,2026,"WSDL del servicio wsfev1 en homologacion (contrato SOAP publicado por el propio servicio)",,https://wswhomo.afip.gov.ar/wsfev1/service.asmx?WSDL,ARCA_wsfev1_homologacion.wsdl,16f5b8450c35a2cfc0187f07d6236162bb57b663954a1e1f0267e71afe90af24,2026-08-26,V1,fase-emision,"Jerarquia P4, pero es mejor fuente que el manual: es legible por maquina y lo publica el servicio mismo. El manual archivado ARCA_manual_desarrollador_wsfev1_v4.6.pdf tiene el contenido como IMAGEN y no se pudo extraer. De aca salen los nombres de campo de FECAESolicitar y FECompUltimoAutorizado, y confirma que el endpoint de homologacion responde"
AFIP,RG,1415,2003,"Regimen de emision de comprobantes, registracion de operaciones e informacion. Sustitucion de la RG 3419 (DGI). Texto unificado y ordenado","texto actualizado",https://servicios.infoleg.gob.ar/infolegInternet/anexos/80000-84999/81316/texact.htm,INFOLEG_AFIP_RG_1415_2003_texto_actualizado.htm,8da6357d985e114ac21d8c26b9ad0d00b2b273f02fd6e2132b5994d807fbd317,2026-08-26,V1,fase-emision,"Emitida 07-ene-2003, B.O. 13-ene-2003 numero 30066 pagina 1 (suplemento). Capitulo E, arts. 15 a 17: que LETRA corresponde a cada operacion segun la condicion del receptor. Es la norma que el revisor de comprobantes declaraba faltante. ATENCION: texto actualizado. El inciso a) del art. 15 lo sustituyo la RG 5003/2021 con vigencia 2021-07-01 y el art. 16 la RG 5198/2022 con vigencia 2022-06-01; los textos anteriores NO estan transcriptos"
AFIP,RG,4291,2018,"Regimen especial de emision y almacenamiento electronico de comprobantes originales. Sustitucion de la RG 2485","texto actualizado",https://servicios.infoleg.gob.ar/infolegInternet/anexos/310000-314999/313088/texact.htm,INFOLEG_AFIP_RG_4291_2018_texto_actualizado.htm,d10584259d2fd6b3a93e7f9fbc9135a742428f8918cc931c2120f8cdc8f7ddbb,2026-08-26,V1,fase-emision,"Emitida 02-08-2018, B.O. 03-08-2018 (pie: e. 03/08/2018 N 56148/18). Norma de respaldo del wsfev1 y del regimen de CAE. La RG 4892/2020 del codigo QR es complementaria de esta"
